fixed 5% (baseline),fixed 8%,adaptive k=4,adaptive ramp-only,adaptive ease-only
248.67148942258905,224.9248083425064,294.5127683160199,247.23579010948362,299.81228880064776
194.41066375175873,151.11287906439998,197.22529893891064,189.6297363696553,201.48534060278016
234.62108632687318,105.09350982049743,260.57208089979133,229.06194111016254,264.3670130954422
143.9470576199065,141.31484649055295,167.30640633137565,158.71139835520745,167.3434262975896
198.16911853562553,123.20022397216884,210.6723429857315,192.97580470991903,217.0476576925965
113.06936852071597,95.95516841453497,144.5587058118238,113.34636473923875,123.06739857179159
193.79438426800584,171.25053929976409,183.46135156306815,199.18452932751958,198.8405246212664
165.24988544734327,142.7827450309439,210.6881672562352,170.66770380821578,203.66556664318685
178.63349492023693,166.2005168815319,175.96656582743248,171.85214678718012,178.8412614357274
159.3717266255772,157.73862175110756,172.41743569122184,164.977795479903,171.1481379192366
255.7071351376105,218.58410140875645,260.7580744232057,252.60407416735893,262.36018090441246
135.76665823606612,98.5652411201656,150.98446752702154,142.80024552135774,146.76386026023977
169.34313961757823,112.14993738139185,177.86463355852902,169.48797301430739,181.7291817193348
190.74125225025895,176.12347701657475,205.5642335781218,195.18654676251447,201.20329545345479
224.6017279867057,183.24322945718836,227.59938483629855,218.61881266573624,233.32437106247394
166.73500713922056,137.3527362832101,183.27069525200022,167.28507108269463,184.5403549579279
192.9934050374185,183.3118086658579,201.7758450564442,188.40667949482645,204.36949571624564
182.32995654495284,156.04598538833363,186.3919436479247,178.88104727971876,189.7017278156863
243.17007504731708,238.27086922081054,284.3318779609973,248.04576787433325,263.64171966750445
223.35021013548982,186.96264795357433,222.90964917763466,219.81579544262488,226.43397057829512
173.5244037015731,106.6553937311565,190.4369530622443,168.88699143277856,195.61553995416884
234.53677985899188,192.60469502025092,242.9130907493586,234.8923681737901,243.80681902424865
243.21677578346748,189.86421788523728,246.9981903327629,238.28694064390643,250.7341701817835
215.17314544819976,151.63570969999307,223.62746518230225,213.47495635998,223.82011954178338
241.70434168162174,209.07138748234019,241.37459683346515,238.20042493464325,244.4482957722785
158.26018116222585,158.80561434396455,166.8120808632508,164.2151495477958,167.64495586003264
256.33479175693276,240.72157850296858,280.9115734842257,264.3148286210753,281.62192523467724
158.73169107679934,152.24030254169355,174.5643738751077,160.60753420344443,174.48434322759522
180.67042271097876,165.11330162849976,203.23457679990085,183.42199178601692,194.94147628046187
149.40337418179612,115.5833149481307,158.20250089361306,150.73820448130792,156.99579440432228
164.77587618789818,124.92272212274513,173.79038191983105,159.804325273908,176.64203268180214
199.6419763727568,175.04248363405736,222.19509357114532,196.61537268165245,223.62196958858942
188.82002916701754,140.0230293911229,201.47423195508972,193.58922297133643,198.65003055282827
288.2135784340629,263.66677295620786,288.301020121066,286.1080437738091,290.27087225263756
161.4414984389836,147.81005256425226,185.79834233424052,162.32594798956518,185.57947813225692
243.3478494270175,236.00945719024915,263.92839803150434,252.73239002186563,258.7382174152939
229.1480198703662,225.70324457803412,237.4607322227525,230.1223630017862,238.4147699818097
148.4088098171954,103.85055349917029,189.79010011059145,149.40194867263767,190.31917123847523
199.65336220374405,143.22318006930539,208.8690249748004,194.36725660460542,214.01279829338145
154.63764648694206,128.7555131701937,200.17505509097697,154.16771465942014,202.46222259452682
221.0130065203346,137.22418520571887,226.6975980388374,216.75867606552,236.14046428101463
132.17461357718932,85.6200948510202,153.07815651895436,124.26527276561661,152.20381250261124
130.24745803764253,116.73095293198551,157.6466064256201,133.3994980959646,153.31858224389134
170.6187599886259,128.6980977163304,185.5818175722801,170.91160248642856,181.93861432603305
178.81864843201578,135.23894451965032,188.7124132913811,178.66974749731182,191.6593419687355
191.53763569764607,145.46297689098944,210.63334405086263,199.128851815431,208.76683197185136
159.16564605601712,120.78925265027503,176.2587603677351,159.5425867554127,172.32810677272516
152.80914128707593,120.46365069504336,204.87853104106182,151.61147897145025,204.15347704416706
179.23445078868082,146.62767366573075,183.24043697388578,174.81705498057903,188.38315337322294
163.96594366846966,120.61433427914609,164.73253773350677,163.1391142512889,166.940816255573
242.93366088288627,151.99512790568298,248.78048383507317,235.45404555697777,256.57398070298115
177.6900820067498,146.7483631030342,185.10041681948164,170.72045119773844,185.5029921189791
109.28937429791718,95.50064916584058,151.02618956332958,110.81420197249668,151.39762043001465
159.85291895433105,146.5985145208402,190.42137026410975,163.6236668176657,188.8548981219455
168.9920593350577,158.25803696566234,185.2506766606205,173.88831473015765,181.90115870205705
177.481325997571,119.975509771242,211.1340800126508,173.62760896557202,217.73137706792647
193.827806769527,143.67287612868432,202.10771267565778,186.74881440766225,205.05642344339603
172.05638009633162,124.04068690125953,198.0252801687064,171.5232583989858,199.16795623204683
236.24268747601906,233.96506047047416,248.99037500212182,247.45477243536502,242.57382345011192
247.94183146457607,194.76204536442702,257.82001724787364,249.44576181510217,252.65095306963818
135.57667269305077,111.64555208309062,156.95702840930005,131.34989167013836,162.21983044925466
120.52119239031218,100.61263990069516,130.18067181907784,118.91924374229986,132.37022533303755
